Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BDCQ.SF1AA3CA,2019.06,1554.397,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1AA3CA,2019.09,1484.434,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1AA3CA,2019.12,1817.118,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1AA3CA,2020.03,1582.915,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1AA3CA,2020.06,1421.593,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1AA3CA,2020.09,1576.216,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1AA3CA,2020.12,2049.573,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1BB1CA,2016.06,1119.02,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2016.09,1101.412,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2016.12,1139.459,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2017.03,1040.5,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2017.06,1150.976,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2017.09,1084.658,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2017.12,1352.84,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2018.03,1224.534,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2018.06,1105.167,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2018.09,1372.723,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2018.12,1230.969,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2019.03,1115.478,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2019.06,1210.962,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2019.09,1234.819,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2019.12,1276.337,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2020.03,1080.713,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2020.06,847.349,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2020.09,925.547,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2020.12,1085.539,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1CC1CA,2016.06,10624.465,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2016.09,9110.709,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2016.12,12084.429,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2017.03,11804.216,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2017.06,12150.005,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2017.09,10399.584,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2017.12,13705.071,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2018.03,12745.412,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2018.06,12574.246,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
